"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.185226995E0,1.424884796E-2,-2.708625048E-2,3.905296326E-3,3.085362171E-2
1.189956891E0,-9.638816118E-3,-1.738144457E-2,-1.512050629E-2,2.497300747E-2
1.194686787E0,-2.548545599E-3,-5.411058664E-3,-3.635883331E-2,3.684751553E-2
1.199416630E0,-7.359653711E-3,-3.037035465E-3,-3.842830658E-2,3.924439876E-2
1.204146526E0,-2.577155828E-3,8.870720863E-3,-4.997730255E-2,5.082383487E-2
1.208876370E0,4.510879517E-3,1.656845212E-3,-1.632213593E-2,1.701485502E-2
1.213606266E0,-1.448981464E-2,-3.398518264E-2,1.230239868E-2,3.893965050E-2
1.218336162E0,-9.619444609E-3,-7.631540298E-3,9.824752808E-3,1.572577151E-2
1.223066005E0,-2.415508032E-3,-5.182079971E-3,1.211643219E-2,1.339763266E-2
1.227795901E0,-9.544968605E-3,-3.788992763E-4,-9.350776672E-3,1.336738623E-2
1.232525745E0,-7.147163153E-3,-1.460967213E-2,-4.488372803E-2,4.773964288E-2
1.237255641E0,-1.901423931E-2,6.833456457E-3,-2.076721191E-2,2.897437686E-2
1.241985537E0,-1.896888018E-2,-1.214955002E-2,-1.109313965E-2,2.510951469E-2
1.246715380E0,-4.706561565E-3,1.176255941E-2,-2.286720276E-2,2.614227396E-2
1.251445276E0,-5.466510355E-2,-2.390676737E-2,-4.404067993E-2,7.415786244E-2
1.256175172E0,-3.284090757E-2,-1.657338440E-2,1.201429367E-1,1.256484282E-1
1.260905016E0,3.017842770E-3,4.943773150E-3,-2.805423737E-2,2.864591598E-2
1.265634912E0,7.714152336E-3,1.678577811E-2,-6.105899811E-2,6.379241133E-2
1.270364755E0,1.237103343E-2,7.161021233E-3,-2.018833160E-2,2.473643924E-2
1.275094651E0,3.695189953E-4,-2.441957593E-3,-3.189086914E-2,3.198636015E-2
1.279824547E0,-1.158890128E-2,-6.571412086E-5,1.823329926E-2,2.160463267E-2
1.284554391E0,-1.629622281E-2,2.846478671E-2,4.419898987E-2,5.503963722E-2
1.289284287E0,-4.259586334E-3,-9.746327996E-3,3.908252716E-2,4.050406047E-2
1.294014130E0,2.956569195E-3,3.070711344E-2,3.400707245E-2,4.591458476E-2
1.298744026E0,5.307406187E-3,4.230521992E-2,-1.887321472E-3,4.267859153E-2
1.303473922E0,-4.317164421E-3,3.978766501E-3,-8.993148804E-3,1.073988905E-2
1.308203766E0,5.217015743E-3,2.052020282E-2,-1.129245758E-2,2.399615751E-2
1.312933662E0,2.411141992E-2,1.801597327E-2,1.254367828E-2,3.260797032E-2
1.317663505E0,-7.009029388E-3,1.790601015E-2,2.193927765E-2,2.917333708E-2
1.322393401E0,2.022385597E-4,1.150973141E-3,3.837394714E-2,3.839173686E-2
1.327123297E0,-9.322881699E-3,1.771596819E-2,3.567981720E-2,4.091235764E-2
1.331853141E0,-6.897866726E-3,1.280405372E-2,2.588748932E-2,2.969320563E-2
1.336583037E0,5.032300949E-3,1.505624503E-2,-4.434585571E-4,1.588115936E-2
1.341312932E0,9.712129831E-3,1.491553336E-2,-1.943206787E-2,2.635154385E-2
1.346042776E0,1.429545879E-2,1.712017506E-2,9.221076965E-3,2.413480468E-2
1.350772672E0,4.652589560E-3,1.930645108E-2,2.576351166E-2,3.252912812E-2
1.355502516E0,-7.198929787E-3,2.616512775E-2,3.504180908E-2,4.432117873E-2
1.360232412E0,-1.188644767E-2,-1.868084073E-4,3.237628937E-2,3.448980500E-2
1.364962307E0,-2.346962690E-3,-7.325939834E-3,2.261161804E-2,2.388436515E-2
1.369692151E0,7.198989391E-3,4.560634494E-3,1.054763794E-3,8.587046169E-3
1.374422047E0,2.392351627E-3,2.132482827E-3,5.794525146E-3,6.621733231E-3
