"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.972953740E-1,2.153540403E-1,-7.657032460E-2,9.942776680E0,9.945403385E0
5.996603220E-1,2.249253243E-1,-8.135596663E-2,9.933204651E0,9.936083979E0
6.020252690E-1,2.225325108E-1,-8.853443712E-2,9.933204651E0,9.936091470E0
6.043902170E-1,2.249253243E-1,-8.614161611E-2,9.921240807E0,9.924163991E0
6.067551650E-1,2.321037948E-1,-6.699903309E-2,9.916455269E0,9.919397469E0
6.091201130E-1,2.153540403E-1,-7.178468257E-2,9.930811882E0,9.933406014E0
6.114850610E-1,2.009970993E-1,-7.896314561E-2,9.930811882E0,9.933159600E0
6.138500090E-1,2.129612118E-1,-7.417750359E-2,9.937990189E0,9.940548464E0
6.162149570E-1,2.201396823E-1,-5.982056633E-2,9.935597420E0,9.938215940E0
6.185799050E-1,2.177468538E-1,-6.699903309E-2,9.933204651E0,9.935816886E0
6.209448530E-1,2.273181528E-1,-6.460621208E-2,9.928419113E0,9.931231222E0
6.233098010E-1,2.177468538E-1,-7.896314561E-2,9.933204651E0,9.935904765E0
6.256747490E-1,2.153540403E-1,-6.699903309E-2,9.928419113E0,9.930980431E0
6.280396970E-1,2.081755698E-1,-6.460621208E-2,9.926026344E0,9.928419311E0
6.304046440E-1,1.986042857E-1,-8.135596663E-2,9.937990189E0,9.940307412E0
6.327695920E-1,1.962114573E-1,-6.460621208E-2,9.942776680E0,9.944922373E0
6.351345400E-1,2.033899277E-1,-7.417750359E-2,9.949954987E0,9.952309983E0
6.374994880E-1,1.962114573E-1,-8.614161611E-2,9.942776680E0,9.945085591E0
6.398644360E-1,1.962114573E-1,-6.460621208E-2,9.952347755E0,9.954491385E0
6.422293840E-1,2.081755698E-1,-7.896314561E-2,9.949954987E0,9.952445754E0
6.445943320E-1,2.201396823E-1,-7.657032460E-2,9.947562218E0,9.950292386E0
6.469592800E-1,2.177468538E-1,-7.896314561E-2,9.940383911E0,9.943082076E0
6.493242280E-1,2.081755698E-1,-7.417750359E-2,9.930811882E0,9.933270559E0
6.516891760E-1,2.225325108E-1,-7.657032460E-2,9.928419113E0,9.931207873E0
6.540541240E-1,2.081755698E-1,-6.939185411E-2,9.940383911E0,9.942805670E0
6.564190720E-1,2.009970993E-1,-8.374879509E-2,9.935597420E0,9.937983185E0
6.587840190E-1,2.105683982E-1,-8.374879509E-2,9.933204651E0,9.935789226E0
6.611489670E-1,2.129612118E-1,-9.810572863E-2,9.918848038E0,9.921619001E0
6.635139150E-1,2.129612118E-1,-7.417750359E-2,9.933204651E0,9.935764159E0
6.658788630E-1,2.201396823E-1,-7.417750359E-2,9.933204651E0,9.935920613E0
6.682438110E-1,2.105683982E-1,-6.699903309E-2,9.928419113E0,9.930877806E0
6.706087590E-1,2.177468538E-1,-7.417750359E-2,9.923633575E0,9.926299378E0
6.729737070E-1,2.177468538E-1,-8.614161611E-2,9.945169449E0,9.947925886E0
6.753386550E-1,2.105683982E-1,-8.374879509E-2,9.933204651E0,9.935789226E0
6.777036030E-1,2.081755698E-1,-6.699903309E-2,9.937990189E0,9.940396115E0
6.800685510E-1,1.962114573E-1,-7.657032460E-2,9.926026344E0,9.928260721E0
6.824334990E-1,2.057827413E-1,-5.503492057E-2,9.930811882E0,9.933096195E0
6.847984470E-1,2.081755698E-1,-5.742774159E-2,9.921240807E0,9.923590789E0
6.871634470E-1,2.081755698E-1,-6.939185411E-2,9.918848038E0,9.921275054E0
6.895283420E-1,2.201396823E-1,-7.417750359E-2,9.921240807E0,9.923960042E0
6.918933420E-1,2.225325108E-1,-8.374879509E-2,9.935597420E0,9.938442064E0
6.942582900E-1,2.105683982E-1,-7.417750359E-2,9.942776680E0,9.945282774E0
6.966232380E-1,2.249253243E-1,-7.178468257E-2,9.935597420E0,9.938402313E0
6.989881860E-1,2.129612118E-1,-6.939185411E-2,9.947562218E0,9.950083506E0
7.013531340E-1,2.129612118E-1,-7.178468257E-2,9.949954987E0,9.952492640E0
7.037180820E-1,2.201396823E-1,-7.896314561E-2,9.937990189E0,9.940741705E0
7.060830300E-1,2.344966233E-1,-7.657032460E-2,9.947562218E0,9.950620370E0
7.084479780E-1,2.201396823E-1,-9.092725813E-2,9.947562218E0,9.950413224E0
7.108129260E-1,2.321037948E-1,-7.896314561E-2,9.933204651E0,9.936229767E0
7.131778740E-1,2.297109663E-1,-7.657032460E-2,9.940383911E0,9.943332562E0
7.155428220E-1,2.009970993E-1,-8.853443712E-2,9.928419113E0,9.930848114E0
7.179077690E-1,2.033899277E-1,-7.896314561E-2,9.928419113E0,9.930816116E0
7.202727170E-1,2.009970993E-1,-8.614161611E-2,9.940383911E0,9.942788971E0
7.226376650E-1,2.153540403E-1,-9.332008660E-2,9.945169449E0,9.947938549E0
7.250026130E-1,2.225325108E-1,-8.374879509E-2,9.947562218E0,9.950403442E0
7.273675610E-1,2.009970993E-1,-8.614161611E-2,9.911669731E0,9.914081756E0
7.297325090E-1,2.009970993E-1,-5.503492057E-2,9.923633575E0,9.925821478E0
7.320974570E-1,2.129612118E-1,-5.024927482E-2,9.928419113E0,9.930829953E0
7.344624050E-1,2.153540403E-1,-5.742774159E-2,9.930811882E0,9.933312637E0
7.368273530E-1,2.105683982E-1,-5.264209956E-2,9.930811882E0,9.933183522E0
7.391923010E-1,2.081755698E-1,-6.460621208E-2,9.942776680E0,9.945165616E0
7.415572490E-1,2.033899277E-1,-5.982056633E-2,9.942776680E0,9.945036655E0
7.439221970E-1,2.105683982E-1,-7.178468257E-2,9.942776680E0,9.945265215E0
7.462871440E-1,1.962114573E-1,-6.460621208E-2,9.930811882E0,9.932960160E0
7.486520920E-1,1.890329868E-1,-7.178468257E-2,9.933204651E0,9.935262510E0
7.510170400E-1,1.962114573E-1,-7.657032460E-2,9.933204651E0,9.935437413E0
7.533819880E-1,2.081755698E-1,-7.657032460E-2,9.935597420E0,9.938073061E0
7.557469360E-1,2.249253243E-1,-5.982056633E-2,9.937990189E0,9.940715210E0
7.581118840E-1,2.201396823E-1,-7.417750359E-2,9.954740524E0,9.957450612E0
7.604768320E-1,2.009970993E-1,-7.657032460E-2,9.952347755E0,9.954671702E0
7.628417800E-1,2.057827413E-1,-6.699903309E-2,9.949954987E0,9.952308257E0
7.652067280E-1,2.201396823E-1,-7.657032460E-2,9.935597420E0,9.938330875E0
7.675716760E-1,2.177468538E-1,-8.374879509E-2,9.940383911E0,9.943121233E0
7.699366240E-1,2.321037948E-1,-8.135596663E-2,9.937990189E0,9.941033143E0
7.723015720E-1,2.225325108E-1,-8.853443712E-2,9.921240807E0,9.924131106E0
